annual_spending,purchase_frequency,age,region,cluster,annual_spending_scaled,purchase_frequency_scaled,age_scaled
1360.57,15,32,North,1,1.23,1.524,-0.7102
956.67,11,35,East,2,0.1582,0.5203,-0.4692
1360.67,12,61,North,1,1.2302,0.7712,1.6196
1499.47,15,41,West,1,1.5985,1.524,0.0129
1370.49,11,61,North,1,1.2563,0.5203,1.6196
832.98,15,55,South,1,-0.17,1.524,1.1376
686.88,7,32,South,0,-0.5577,-0.4835,-0.7102
457.12,2,20,North,0,-1.1674,-1.7381,-1.6742
736.42,11,42,West,2,-0.4263,0.5203,0.0932
1337.97,11,48,South,1,1.17,0.5203,0.5752
542.12,5,24,West,0,-0.9418,-0.9853,-1.3528
627.51,5,28,South,0,-0.7153,-0.9853,-1.0315
849.37,10,46,South,2,-0.1265,0.2693,0.4145
625.05,6,50,West,2,-0.7218,-0.7344,0.7359
1536.9,15,55,East,1,1.6979,1.524,1.1376
297.99,2,25,North,0,-1.5897,-1.7381,-1.2725
817.08,9,48,South,2,-0.2122,0.0184,0.5752
1364.22,14,48,North,1,1.2397,1.2731,0.5752
1044.73,16,48,West,1,0.3919,1.7749,0.5752
834.79,15,43,North,1,-0.1652,1.524,0.1735
1232.14,15,29,South,1,0.8892,1.524,-0.9512
692.7,11,33,West,2,-0.5423,0.5203,-0.6298
676.33,11,47,South,2,-0.5857,0.5203,0.4949
564.8,7,20,North,0,-0.8817,-0.4835,-1.6742
1377.37,7,25,North,2,1.2745,-0.4835,-1.2725
1216.77,11,51,North,1,0.8484,0.5203,0.8162
688.71,7,55,West,2,-0.5529,-0.4835,1.1376
851.48,8,54,North,2,-0.1209,-0.2325,1.0572
405.19,4,21,North,0,-1.3052,-1.2363,-1.5939
344.88,7,19,South,0,-1.4652,-0.4835,-1.7545
1380.04,15,51,West,1,1.2816,1.524,0.8162
1306.62,14,47,West,1,1.0868,1.2731,0.4949
1325.46,5,49,East,2,1.1368,-0.9853,0.6555
1254.41,13,27,East,2,0.9483,1.0221,-1.1118
467.04,7,22,North,0,-1.1411,-0.4835,-1.5135
368.81,4,39,West,0,-1.4017,-1.2363,-0.1478
1162.42,5,54,North,2,0.7042,-0.9853,1.0572
323.44,3,20,North,0,-1.5221,-1.4872,-1.6742
698.87,4,34,South,0,-0.5259,-1.2363,-0.5495
641.18,9,25,North,0,-0.679,0.0184,-1.2725
272.45,5,23,West,0,-1.6574,-0.9853,-1.4332
664.68,12,51,North,2,-0.6166,0.7712,0.8162
894.23,8,26,South,0,-0.0075,-0.2325,-1.1922
1253.15,5,33,West,2,0.9449,-0.9853,-0.6298
1156.65,7,44,West,2,0.6889,-0.4835,0.2539
613.27,7,55,East,2,-0.753,-0.4835,1.1376
248.09,2,18,West,0,-1.7221,-1.7381,-1.8349
1349.38,5,35,West,2,1.2003,-0.9853,-0.4692
767.26,14,27,East,2,-0.3444,1.2731,-1.1118
1253.78,13,44,West,1,0.9466,1.0221,0.2539
698.13,7,29,North,0,-0.5279,-0.4835,-0.9512
1379.86,10,48,East,1,1.2812,0.2693,0.5752
1277.33,8,48,South,2,1.0091,-0.2325,0.5752
1385.22,12,56,West,1,1.2954,0.7712,1.2179
1401.39,15,42,West,1,1.3383,1.524,0.0932
531.75,6,35,West,0,-0.9694,-0.7344,-0.4692
442.81,4,33,North,0,-1.2054,-1.2363,-0.6298
556.09,2,31,North,0,-0.9048,-1.7381,-0.7905
383.23,4,34,West,0,-1.3635,-1.2363,-0.5495
674.94,7,46,East,2,-0.5894,-0.4835,0.4145
494.94,7,30,East,0,-1.067,-0.4835,-0.8708
1378.68,11,60,South,1,1.278,0.5203,1.5392
1135.14,5,29,West,2,0.6318,-0.9853,-0.9512
824.62,7,41,West,2,-0.1922,-0.4835,0.0129
670.23,6,31,North,0,-0.6019,-0.7344,-0.7905
1448.63,14,63,North,1,1.4636,1.2731,1.7802
1373.32,7,52,North,2,1.2638,-0.4835,0.8965
352.85,2,20,West,0,-1.4441,-1.7381,-1.6742
915.75,10,50,East,2,0.0496,0.2693,0.7359
677.74,10,47,South,2,-0.582,0.2693,0.4949
347.65,3,34,West,0,-1.4579,-1.4872,-0.5495
1161.99,11,53,South,1,0.703,0.5203,0.9769
1486.07,10,63,North,1,1.563,0.2693,1.7802
202.59,5,30,West,0,-1.8428,-0.9853,-0.8708
1161.57,7,47,East,2,0.7019,-0.4835,0.4949
675.19,11,55,South,2,-0.5887,0.5203,1.1376
277.52,7,39,South,0,-1.644,-0.4835,-0.1478
1150.15,11,45,East,2,0.6716,0.5203,0.3342
701.65,5,32,North,0,-0.5185,-0.9853,-0.7102
682.63,5,23,North,0,-0.569,-0.9853,-1.4332
405.68,4,40,West,0,-1.3039,-1.2363,-0.0675
1380.68,14,54,East,1,1.2833,1.2731,1.0572
1162.5,13,65,East,1,0.7044,1.0221,1.9409
292.17,7,40,East,0,-1.6051,-0.4835,-0.0675
927.16,14,50,North,1,0.0799,1.2731,0.7359
791.83,10,40,North,2,-0.2792,0.2693,-0.0675
823.95,11,55,North,2,-0.194,0.5203,1.1376
935.68,14,40,East,1,0.1025,1.2731,-0.0675
1008.64,15,44,East,1,0.2961,1.524,0.2539
627.73,5,22,West,0,-0.7147,-0.9853,-1.5135
581.68,6,24,West,0,-0.8369,-0.7344,-1.3528
416.93,3,27,South,0,-1.274,-1.4872,-1.1118
636.24,14,50,East,2,-0.6921,1.2731,0.7359
1285.19,9,37,West,2,1.0299,0.0184,-0.3085
1355.11,6,41,West,2,1.2155,-0.7344,0.0129
1352.18,12,36,South,1,1.2077,0.7712,-0.3888
702.8,7,35,North,0,-0.5155,-0.4835,-0.4692
1256.34,12,34,East,2,0.9534,0.7712,-0.5495
234.68,7,19,North,0,-1.7577,-0.4835,-1.7545
541.5,2,25,North,0,-0.9435,-1.7381,-1.2725
1013.96,11,58,North,1,0.3102,0.5203,1.3786
1154.31,6,37,East,2,0.6826,-0.7344,-0.3085
1441.04,14,64,West,1,1.4435,1.2731,1.8606
575.31,4,34,East,0,-0.8538,-1.2363,-0.5495
897.61,11,48,East,2,0.0015,0.5203,0.5752
1515.05,10,62,North,1,1.6399,0.2693,1.6999
790.59,5,41,South,2,-0.2825,-0.9853,0.0129
911.69,15,43,North,1,0.0388,1.524,0.1735
679.27,4,29,North,0,-0.5779,-1.2363,-0.9512
675.03,5,36,South,0,-0.5892,-0.9853,-0.3888
958.76,7,36,North,2,0.1637,-0.4835,-0.3888
770.18,9,47,West,2,-0.3367,0.0184,0.4949
1054.72,11,65,East,1,0.4184,0.5203,1.9409
1033.52,12,62,North,1,0.3621,0.7712,1.6999
693.65,13,34,South,2,-0.5397,1.0221,-0.5495
680.9,11,38,North,2,-0.5736,0.5203,-0.2282
398.33,4,19,North,0,-1.3234,-1.2363,-1.7545
786.58,12,40,North,2,-0.2932,0.7712,-0.0675
1250.24,11,49,North,1,0.9372,0.5203,0.6555
1225.76,16,58,North,1,0.8722,1.7749,1.3786
1164.07,14,50,East,1,0.7085,1.2731,0.7359
446.31,6,35,West,0,-1.1961,-0.7344,-0.4692
1192.78,12,53,East,1,0.7847,0.7712,0.9769
1196.84,13,55,West,1,0.7955,1.0221,1.1376
634.3,7,38,South,0,-0.6972,-0.4835,-0.2282
1586.74,14,54,North,1,1.8301,1.2731,1.0572
662.32,5,22,West,0,-0.6229,-0.9853,-1.5135
1375.44,6,39,North,2,1.2694,-0.7344,-0.1478
347.25,2,38,South,0,-1.4589,-1.7381,-0.2282
1320.93,13,35,West,1,1.1248,1.0221,-0.4692
1034.72,15,51,West,1,0.3653,1.524,0.8162
821.9,8,50,West,2,-0.1994,-0.2325,0.7359
1066.92,9,33,West,2,0.4507,0.0184,-0.6298
1418.9,10,48,North,1,1.3847,0.2693,0.5752
1082.23,7,53,South,2,0.4914,-0.4835,0.9769
1435.43,16,64,South,1,1.4286,1.7749,1.8606
638.33,4,30,North,0,-0.6865,-1.2363,-0.8708
388.23,2,35,West,0,-1.3502,-1.7381,-0.4692
1226.04,11,64,South,1,0.873,0.5203,1.8606
1341.45,10,41,North,2,1.1792,0.2693,0.0129
818.73,11,30,West,2,-0.2078,0.5203,-0.8708
1599.83,15,42,North,1,1.8649,1.524,0.0932
1180.9,14,34,East,1,0.7532,1.2731,-0.5495
425.27,7,18,East,0,-1.2519,-0.4835,-1.8349
303.61,2,34,West,0,-1.5747,-1.7381,-0.5495
886.53,12,31,South,2,-0.0279,0.7712,-0.7905
980.97,7,51,South,2,0.2227,-0.4835,0.8162
1331.14,14,64,North,1,1.1519,1.2731,1.8606
214.39,6,38,South,0,-1.8115,-0.7344,-0.2282
770.37,10,52,South,2,-0.3362,0.2693,0.8965
