id,neighborhood,property_type,price,sqft,price_per_sqft,bedrooms,bathrooms,lot_size_sqft,year_built,stories,garage_spaces,hoa_monthly,days_on_market,location
1,East San Jose,Single Family,1534000,2226,689.13,3,2,4643,1961,1,2,0,7,Downtown
2,Willow Glen,Single Family,2778000,2052,1353.8,4,3,3717,2019,3,2,0,31,Downtown
3,North San Jose,Condo,478000,606,788.78,1,2,0,1991,1,1,550,46,Suburb
4,Almaden Valley,Single Family,2121000,1496,1417.78,3,2,8445,1981,2,2,0,51,Downtown
5,Almaden Valley,Condo,1329000,1243,1069.19,3,2,0,2021,1,0,0,87,Rural
6,Evergreen,Townhouse,889000,1081,822.39,2,2,1578,1983,2,3,150,50,Suburb
7,Rose Garden,Single Family,2741000,2193,1249.89,5,4,8808,1957,2,1,0,23,Downtown
8,North San Jose,Single Family,2922000,3381,864.24,3,4,6156,1955,2,0,0,11,Rural
9,Evergreen,Townhouse,1484000,1580,939.24,3,2,1822,1998,2,2,150,36,Downtown
10,Cambrian Park,Single Family,3958000,3399,1164.46,4,2,8288,2002,2,2,0,20,Suburb
11,West San Jose,Single Family,1655000,1292,1280.96,2,2,8640,1968,2,2,320,79,Downtown
12,North San Jose,Single Family,3644000,3366,1082.59,2,4,4438,2016,3,3,0,40,Downtown
13,Downtown San Jose,Single Family,1390000,1113,1248.88,5,4,5657,2012,1,2,0,41,Suburb
14,Alviso,Condo,717000,1223,586.26,1,1,0,1995,1,2,550,70,Suburb
15,Communications Hill,Single Family,2646000,2427,1090.23,4,1,4416,1994,2,3,0,33,Rural
16,Communications Hill,Condo,608000,680,894.12,1,2,0,1956,1,2,550,19,Suburb
17,Cambrian Park,Condo,1157000,1162,995.7,1,2,0,2015,1,2,150,72,Downtown
18,Willow Park,Condo,734000,805,911.8,2,2,0,1995,1,2,320,18,Suburb
19,Evergreen,Single Family,2330000,2484,938.0,2,3,8037,1977,1,0,0,10,Rural
20,Evergreen,Single Family,1061000,1228,864.01,3,1,7711,1978,1,2,0,95,Rural
21,Communications Hill,Townhouse,1313000,1590,825.79,3,2,1768,2000,3,0,320,48,Suburb
22,Downtown San Jose,Single Family,1260000,1321,953.82,5,4,8793,1960,2,2,0,16,Suburb
23,Evergreen,Single Family,2816000,3296,854.37,4,2,6956,1971,1,1,0,73,Rural
24,Almaden Valley,Single Family,4156000,3314,1254.07,2,1,5436,1969,1,2,0,10,Suburb
25,Cambrian Park,Single Family,2991000,2699,1108.19,3,3,5836,2002,2,2,0,65,Downtown
26,Cambrian Park,Single Family,2075000,1991,1042.19,2,3,7941,1955,1,0,0,67,Downtown
27,Communications Hill,Townhouse,884000,1161,761.41,2,3,964,1971,3,0,550,33,Rural
28,Downtown San Jose,Single Family,3781000,3433,1101.37,3,3,8370,1953,3,2,0,69,Rural
29,Rose Garden,Townhouse,1271000,1209,1051.28,3,2,1343,1998,2,2,320,43,Downtown
30,Communications Hill,Townhouse,804000,1074,748.6,2,2,1953,1960,2,1,250,19,Rural
31,Communications Hill,Single Family,1292000,1381,935.55,3,2,5834,1968,3,2,0,86,Suburb
32,West San Jose,Single Family,3738000,3371,1108.87,3,4,4348,1965,3,0,0,37,Rural
33,Berryessa,Condo,992000,1334,743.63,2,1,0,1981,1,1,550,9,Rural
34,Almaden Valley,Condo,1070000,883,1211.78,1,1,0,1990,1,2,250,23,Downtown
35,Santa Teresa,Single Family,2532000,2851,888.11,4,1,4416,1957,1,2,0,50,Suburb
36,Blossom Valley,Condo,752000,1040,723.08,1,1,0,1987,1,3,550,8,Downtown
37,Communications Hill,Single Family,2374000,2122,1118.76,5,1,6397,2019,2,2,0,33,Suburb
38,Alviso,Single Family,1256000,1825,688.22,4,1,4969,1990,3,2,0,34,Rural
39,Berryessa,Single Family,1230000,1542,797.67,4,1,7355,1976,2,2,0,32,Rural
40,Evergreen,Single Family,1884000,1891,996.3,4,2,5782,1956,2,1,0,54,Rural
41,East San Jose,Multi-Family,1711000,2898,590.41,5,3,4472,1981,1,1,0,79,Downtown
42,Downtown San Jose,Single Family,2504000,2384,1050.34,4,3,7689,1962,1,2,0,93,Downtown
43,Downtown San Jose,Single Family,3512000,3305,1062.63,5,4,8993,1973,3,0,0,82,Downtown
44,Rose Garden,Condo,766000,727,1053.65,2,2,0,2000,1,2,250,73,Downtown
45,Cambrian Park,Single Family,2677000,2652,1009.43,5,4,4925,2020,1,2,0,29,Rural
46,Downtown San Jose,Townhouse,1766000,1621,1089.45,3,2,1704,2004,2,2,550,24,Rural
47,East San Jose,Single Family,1974000,3211,614.76,5,4,8572,1990,1,3,0,31,Rural
48,Willow Park,Single Family,1219000,1200,1015.83,2,2,7392,1957,2,2,0,92,Downtown
49,Downtown San Jose,Single Family,2438000,2099,1161.51,3,4,3545,1961,1,1,0,92,Downtown
50,West San Jose,Single Family,4323000,3383,1277.86,3,1,7239,1965,2,2,0,79,Rural
51,Rose Garden,Multi-Family,3722000,2706,1375.46,6,4,6244,2005,2,2,320,36,Rural
52,Willow Park,Single Family,2233000,2235,999.11,4,3,8634,1978,3,0,0,37,Suburb
53,Rose Garden,Single Family,4025000,3312,1215.28,2,2,4735,1977,3,1,0,56,Downtown
54,Downtown San Jose,Single Family,3362000,3008,1117.69,4,1,5194,2001,2,3,0,5,Downtown
55,Alviso,Townhouse,870000,1589,547.51,3,2,812,1993,2,2,400,72,Rural
56,Willow Park,Condo,737000,825,893.33,2,1,0,1982,1,0,320,46,Downtown
57,East San Jose,Condo,643000,1014,634.12,1,2,0,1964,1,2,0,53,Suburb
58,Blossom Valley,Condo,498000,627,794.26,1,2,0,1965,1,1,0,36,Suburb
59,Downtown San Jose,Single Family,3540000,2962,1195.14,3,2,6605,1983,2,3,0,13,Rural
60,North San Jose,Single Family,3317000,3309,1002.42,2,2,5336,1956,1,2,0,34,Rural
