customer_id,age,monthly_usage_hours,purchase_amount,customer_service_calls,region,churn_status
CUST1000,65,84.8,41.27,1,East,Yes
CUST1001,22,50.1,178.36,3,South,No
CUST1002,43,94.5,5.07,2,South,No
CUST1003,21,37.5,66.86,4,West,No
CUST1004,37,73.4,53.55,4,North,No
CUST1005,41,60.0,100.86,1,North,Yes
CUST1006,57,47.1,120.93,4,Central,No
CUST1007,46,38.0,70.65,5,East,Yes
CUST1008,32,38.7,57.34,3,Central,No
CUST1009,41,30.7,44.37,5,North,No
CUST1010,26,45.0,74.76,0,South,No
CUST1011,43,65.7,127.52,2,South,No
CUST1012,64,70.7,29.2,1,West,No
CUST1013,60,53.1,120.69,1,North,Yes
CUST1014,44,34.6,110.81,1,South,No
CUST1015,26,39.3,50.57,1,West,No
CUST1016,57,36.3,43.71,2,East,Yes
CUST1017,56,51.3,54.32,3,Central,No
CUST1018,22,48.6,73.17,5,East,No
CUST1019,66,23.3,44.58,1,Central,Yes
CUST1020,25,32.9,103.01,3,South,Yes
CUST1021,62,58.2,23.73,2,West,No
CUST1022,18,24.6,100.8,0,East,No
CUST1023,29,36.4,26.73,3,East,No
CUST1024,24,41.0,78.16,3,South,No
CUST1025,37,31.0,150.29,2,West,No
CUST1026,62,47.0,15.66,5,Central,Yes
CUST1027,23,17.7,37.48,6,West,Yes
CUST1028,42,74.5,89.14,0,North,No
CUST1029,66,94.4,26.46,1,East,No
CUST1030,18,20.5,79.54,2,South,No
CUST1031,52,65.1,36.91,2,South,No
CUST1032,27,29.3,17.22,3,South,Yes
CUST1033,32,56.1,155.62,1,North,No
CUST1034,56,99.5,56.99,4,West,No
CUST1035,22,57.7,31.9,5,East,No
CUST1036,64,75.1,53.87,1,East,No
CUST1037,27,27.1,40.57,3,North,Yes
CUST1038,41,31.2,39.55,2,North,Yes
CUST1039,53,44.7,136.64,6,South,Yes
CUST1040,21,70.5,48.67,4,West,No
CUST1041,26,70.7,90.72,3,North,No
CUST1042,37,59.9,77.66,0,West,No
CUST1043,66,37.1,74.1,3,East,No
CUST1044,19,55.5,29.08,7,East,Yes
CUST1045,18,49.2,32.94,3,East,No
CUST1046,34,17.0,54.38,3,Central,No
CUST1047,49,41.3,113.22,4,South,No
CUST1048,47,75.8,15.8,1,North,No
CUST1049,62,52.8,81.44,1,South,No
CUST1050,46,32.3,86.51,4,North,Yes
CUST1051,25,14.9,59.55,2,Central,No
CUST1052,41,107.0,69.33,2,Central,No
CUST1053,28,16.4,38.18,3,Central,No
CUST1054,59,61.8,92.7,3,West,No
CUST1055,53,70.0,14.66,0,Central,No
CUST1056,18,49.9,120.6,4,North,No
CUST1057,25,21.9,43.01,0,Central,No
CUST1058,41,23.2,230.68,2,West,No
CUST1059,46,53.5,88.01,1,West,No
CUST1060,50,66.5,112.48,3,Central,Yes
CUST1061,39,26.2,94.7,0,South,No
CUST1062,54,40.2,69.95,2,South,No
CUST1063,53,57.7,134.84,2,Central,No
CUST1064,51,35.3,97.46,1,North,No
CUST1065,21,35.0,133.74,1,East,No
CUST1066,45,47.5,61.93,2,Central,No
CUST1067,51,50.6,48.33,2,South,No
CUST1068,37,95.3,132.76,2,East,No
CUST1069,45,42.1,79.75,2,South,Yes
CUST1070,22,41.9,159.55,3,South,No
CUST1071,37,27.6,93.36,4,Central,No
CUST1072,51,47.2,52.63,4,North,No
CUST1073,48,45.6,103.0,4,South,No
CUST1074,55,64.0,92.57,3,North,No
CUST1075,27,44.0,81.44,3,East,No
CUST1076,47,36.3,67.63,1,West,No
CUST1077,35,55.8,30.12,2,East,No
CUST1078,49,76.8,87.42,1,South,No
CUST1079,20,36.2,29.24,2,South,Yes
CUST1080,37,53.1,55.68,2,North,No
CUST1081,68,80.0,159.88,3,Central,No
CUST1082,36,47.1,57.87,3,East,Yes
CUST1083,39,80.4,113.99,0,North,No
CUST1084,21,35.1,49.62,1,East,No
CUST1085,29,43.2,61.48,1,South,No
CUST1086,65,41.9,63.68,1,South,Yes
CUST1087,34,48.0,101.01,2,West,No
CUST1088,30,71.1,105.13,3,North,No
CUST1089,47,37.3,24.6,2,Central,Yes
CUST1090,61,28.3,92.19,5,West,Yes
CUST1091,59,79.0,97.98,2,West,No
CUST1092,27,66.6,25.9,4,West,Yes
CUST1093,30,18.0,144.38,3,Central,No
CUST1094,21,55.3,128.47,2,Central,Yes
CUST1095,64,85.9,61.01,1,Central,No
CUST1096,32,48.0,46.01,3,West,No
CUST1097,38,36.6,24.45,6,North,Yes
CUST1098,33,61.9,76.22,1,West,No
CUST1099,53,58.3,109.68,1,Central,No
CUST1100,66,32.7,49.41,1,South,No
CUST1101,22,35.4,92.88,3,East,No
CUST1102,61,38.1,95.45,1,South,Yes
CUST1103,26,35.1,60.67,2,South,No
CUST1104,44,14.2,45.48,2,West,No
CUST1105,61,17.9,74.41,7,North,No
CUST1106,65,42.0,99.87,5,South,No
CUST1107,41,57.6,44.84,3,East,No
CUST1108,31,26.7,30.25,2,South,No
CUST1109,68,58.1,32.23,1,East,No
CUST1110,57,46.0,56.52,5,East,Yes
CUST1111,21,38.2,26.84,1,East,No
CUST1112,47,72.5,42.19,2,Central,No
CUST1113,30,98.7,22.43,5,West,Yes
CUST1114,30,46.8,80.19,3,Central,No
CUST1115,33,54.2,69.7,2,South,No
CUST1116,47,43.0,68.68,3,South,Yes
CUST1117,26,69.9,32.77,2,South,No
CUST1118,56,43.5,42.71,3,East,No
CUST1119,24,24.5,33.02,4,East,No
CUST1120,39,21.2,43.91,3,North,No
CUST1121,62,33.9,3.88,3,West,Yes
CUST1122,45,25.3,64.68,1,East,No
CUST1123,25,30.4,95.79,2,East,No
CUST1124,35,34.6,43.71,2,South,No
CUST1125,60,32.1,50.17,2,East,No
CUST1126,65,53.6,62.16,1,East,No
CUST1127,23,29.7,35.57,3,North,No
CUST1128,54,25.8,83.23,2,North,No
CUST1129,59,19.4,48.38,2,North,No
CUST1130,59,76.8,125.11,5,South,No
CUST1131,47,41.3,18.61,3,East,No
CUST1132,44,51.8,116.6,3,West,No
CUST1133,18,54.0,92.15,3,West,No
CUST1134,40,22.0,74.67,2,South,No
CUST1135,52,44.6,134.64,2,North,No
CUST1136,30,43.8,130.2,0,East,No
CUST1137,24,22.3,199.8,3,Central,No
CUST1138,58,34.1,49.13,1,North,No
CUST1139,52,56.4,25.88,2,East,No
CUST1140,60,65.4,15.91,3,North,No
CUST1141,64,130.0,48.42,0,North,No
CUST1142,67,103.9,109.11,1,Central,No
CUST1143,47,44.9,27.71,4,East,No
CUST1144,56,48.3,63.12,2,Central,No
CUST1145,60,42.5,27.79,3,West,Yes
CUST1146,35,31.7,103.48,6,East,No
CUST1147,23,61.6,40.61,5,North,Yes
CUST1148,33,71.9,119.42,3,Central,No
CUST1149,67,33.9,108.7,3,West,No
CUST1150,30,31.7,103.77,2,North,No
CUST1151,59,35.5,72.95,2,South,No
CUST1152,58,13.3,110.44,1,East,No
CUST1153,46,49.4,36.94,0,South,No
CUST1154,65,96.6,85.42,5,West,No
CUST1155,55,46.3,194.16,2,West,No
CUST1156,27,25.4,196.36,2,North,No
CUST1157,41,46.3,73.42,0,West,No
CUST1158,39,59.3,33.51,1,South,No
CUST1159,22,40.3,147.09,6,North,No
CUST1160,45,29.0,47.94,3,North,No
CUST1161,30,45.2,153.34,2,Central,No
CUST1162,59,43.0,78.13,4,North,Yes
CUST1163,29,50.2,76.92,3,Central,Yes
CUST1164,24,65.8,156.26,2,Central,No
CUST1165,51,30.0,64.56,7,North,Yes
CUST1166,39,40.7,74.76,3,South,Yes
CUST1167,39,47.5,56.17,1,East,Yes
CUST1168,48,58.1,22.75,2,East,No
CUST1169,61,45.4,103.93,4,South,No
CUST1170,46,65.8,76.59,3,East,No
CUST1171,69,49.7,112.07,2,West,No
CUST1172,30,19.7,68.87,3,East,No
CUST1173,30,81.9,37.63,6,West,No
CUST1174,63,33.0,41.22,5,West,No
CUST1175,54,71.6,21.07,0,West,No
CUST1176,25,81.1,47.64,3,North,Yes
CUST1177,39,30.9,86.74,0,East,No
CUST1178,59,20.8,79.92,1,West,Yes
CUST1179,56,39.1,51.5,1,Central,No
CUST1180,33,34.6,54.09,2,East,No
CUST1181,61,58.0,48.02,3,West,No
CUST1182,36,8.8,51.26,3,South,No
CUST1183,46,53.3,107.45,4,West,No
CUST1184,34,32.5,22.02,3,South,No
CUST1185,23,21.6,86.17,5,North,No
CUST1186,53,46.4,50.47,1,South,No
CUST1187,31,32.8,38.1,3,East,No
CUST1188,50,69.3,61.58,2,North,No
CUST1189,41,57.8,60.93,3,North,No
CUST1190,49,31.3,76.67,1,East,No
CUST1191,51,53.8,40.43,3,East,Yes
CUST1192,63,38.6,105.7,2,West,No
CUST1193,58,111.5,61.47,1,West,No
CUST1194,45,30.9,102.47,2,Central,No
CUST1195,32,65.8,11.96,3,South,No
CUST1196,63,56.8,108.09,1,Central,No
CUST1197,59,34.8,66.64,0,South,No
CUST1198,60,28.4,41.11,1,North,No
CUST1199,50,44.4,71.11,1,North,No
